instance; execution; seed; number_of_tasks; cycle_time; iterations; restarts; solution; duration;
MITCHELL; 1; 1529275059; 21; 26; 300; 3; 5; 2.54715;
MITCHELL; 1; 1529275062; 21; 26; 300; 4; 5; 3.42224;
MITCHELL; 1; 1529275065; 21; 26; 300; 5; 5; 4.60987;
MITCHELL; 1; 1529275070; 21; 26; 400; 1; 5; 1.15637;
MITCHELL; 1; 1529275071; 21; 26; 400; 2; 5; 2.40651;
MITCHELL; 1; 1529275073; 21; 26; 400; 3; 5; 3.32848;
MITCHELL; 1; 1529275077; 21; 26; 400; 4; 5; 4.68801;
MITCHELL; 1; 1529275081; 21; 26; 400; 5; 5; 5.95377;
MITCHELL; 1; 1529275087; 21; 26; 500; 1; 5; 1.51579;
MITCHELL; 1; 1529275089; 21; 26; 500; 2; 5; 2.89097;
MITCHELL; 1; 1529275092; 21; 26; 500; 3; 5; 4.43798;
MITCHELL; 1; 1529275096; 21; 26; 500; 4; 5; 6.0475;
MITCHELL; 1; 1529275102; 21; 26; 500; 5; 5; 7.2039;
MITCHELL; 1; 1529275109; 21; 26; 600; 1; 5; 1.85958;
MITCHELL; 1; 1529275111; 21; 26; 600; 2; 5; 3.50037;
MITCHELL; 1; 1529275115; 21; 26; 600; 3; 5; 4.78177;
MITCHELL; 1; 1529275119; 21; 26; 600; 4; 5; 6.67259;
MITCHELL; 1; 1529275126; 21; 26; 600; 5; 5; 8.92287;
MITCHELL; 1; 1529275135; 21; 26; 700; 1; 5; 2.18774;
MITCHELL; 1; 1529275137; 21; 26; 700; 2; 5; 4.00043;
MITCHELL; 1; 1529275141; 21; 26; 700; 3; 5; 5.76624;
MITCHELL; 1; 1529275147; 21; 26; 700; 4; 5; 7.93836;
MITCHELL; 1; 1529275155; 21; 26; 700; 5; 5; 10.3605;
MITCHELL; 1; 1529275165; 21; 26; 800; 1; 5; 2.2815;
MITCHELL; 1; 1529275168; 21; 26; 800; 2; 5; 4.45361;
